Segment_Value,Segment_Type,N,Avg_MDD_Pct,Avg_Underwater_Days,Avg_Monthly_HR_Pct,Avg_Up_Capture_Pct,Avg_Dn_Capture_Pct,Avg_Down_Month_HR_Pct,Avg_Worst_Month_HR_Pct
Utilities,Sector,5,-37.24,684.2,52.33,58.82,56.17,61.0,73.33
Industrials,Sector,25,-37.51,491.0,51.87,113.4,105.5,47.0,60.0
Information Technology,Sector,22,-48.42,632.5,50.15,137.56,135.13,45.91,50.0
Financials,Sector,13,-36.81,612.23,49.36,97.43,89.64,53.08,58.97
Consumer Discretionary,Sector,13,-54.62,824.15,47.82,128.73,131.3,46.54,46.15
Health Care,Sector,13,-41.24,674.46,47.44,73.7,66.55,50.0,66.67
Materials,Sector,4,-41.75,508.75,45.0,87.85,91.34,47.5,58.33
Consumer Staples,Sector,11,-40.36,659.27,44.85,42.23,40.31,55.0,78.79
Consumer Services,Industry_Group,3,-43.69,353.0,53.89,88.75,76.19,68.33,88.89
Insurance,Industry_Group,4,-27.85,299.25,53.33,81.55,61.54,63.75,75.0
Capital Goods,Industry_Group,19,-37.94,472.05,52.54,123.11,114.69,45.26,54.39
Utilities,Industry_Group,5,-37.24,684.2,52.33,58.82,56.17,61.0,73.33
Commercial & Professional Services,Industry_Group,4,-33.28,536.0,52.08,83.55,74.16,57.5,91.67
Semiconductors & Semiconductor Equipment,Industry_Group,4,-61.68,737.0,50.83,218.94,215.13,40.0,8.33
Software & Services,Industry_Group,12,-42.23,607.25,50.28,98.12,97.26,50.42,69.44
Technology Hardware & Equipment,Industry_Group,6,-51.94,613.33,49.44,162.2,157.53,40.83,38.89
"Pharmaceuticals, Biotechnology & Life Sciences",Industry_Group,7,-37.44,560.86,48.1,55.67,46.22,58.57,85.71
"Food, Beverage & Tobacco",Industry_Group,5,-38.07,615.2,48.0,59.39,46.69,53.0,80.0
Banks,Industry_Group,3,-43.76,813.0,47.78,116.79,112.69,41.67,33.33
Financial Services,Industry_Group,6,-39.31,720.5,47.5,98.34,96.85,51.67,61.11
Health Care Equipment & Services,Industry_Group,6,-45.67,807.0,46.67,94.74,90.26,40.0,44.44
Automobiles & Components,Industry_Group,6,-59.1,1027.17,46.11,149.67,160.2,37.5,27.78
Materials,Industry_Group,4,-41.75,508.75,45.0,87.85,91.34,47.5,58.33
Consumer Discretionary Distribution & Retail,Industry_Group,3,-61.52,945.67,43.89,147.24,155.44,38.33,44.44
Household & Personal Products,Industry_Group,5,-43.39,679.6,41.67,30.78,39.56,56.0,73.33
Japan,Country,3,-39.35,628.33,51.67,54.59,34.29,68.33,66.67
Ireland,Country,5,-40.65,772.0,51.0,115.45,113.3,39.0,46.67
France,Country,5,-36.71,401.6,50.33,65.71,62.84,58.0,86.67
Canada,Country,3,-43.47,792.67,50.0,107.81,98.97,45.0,55.56
United States,Country,81,-43.46,618.12,48.95,112.24,108.35,47.47,55.97
Switzerland,Country,3,-54.71,944.0,42.22,105.37,118.95,43.33,33.33
"Over 100,000 employees",Workforce_Size,28,-43.2,627.36,51.55,106.96,99.95,48.39,52.38
"15,000 - 24,999 employees",Workforce_Size,16,-42.79,620.44,49.06,106.78,104.9,47.5,62.5
"10,000 - 14,999 employees",Workforce_Size,13,-43.43,641.62,48.85,97.89,96.84,46.54,64.1
"25,000 - 49,999 employees",Workforce_Size,24,-38.66,571.96,48.47,85.62,78.09,53.96,63.89
"50,000 - 100,000 employees",Workforce_Size,23,-43.4,647.09,47.83,117.01,115.46,45.87,53.62
"5,000 - 9,999 employees",Workforce_Size,4,-56.81,823.25,46.67,138.79,146.08,43.75,50.0
"$25,000,000,001 - $50,000,000,000",Revenue,25,-38.4,562.24,50.33,103.34,95.92,49.8,58.67
"$50,000,000,001 - $75,000,000,000",Revenue,9,-40.82,662.0,50.19,90.26,85.76,47.78,44.44
"$5,000,000,001 - $10,000,000,000",Revenue,17,-44.54,680.47,49.31,113.77,109.93,50.29,64.71
"$10,000,000,001 - $25,000,000,000",Revenue,37,-42.27,614.65,49.19,104.18,100.44,50.0,60.36
"Greater than $75,000,000,000",Revenue,10,-44.74,689.9,48.33,93.88,86.15,51.0,53.33
"$1,000,000,001 - $5,000,000,000",Revenue,12,-50.05,671.75,46.39,102.54,106.36,42.08,58.33
Public,Structure,110,-42.7,629.85,49.17,103.22,99.02,49.05,58.48
